User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
40.0,22790144.0,0,1,4,230,2,1,1,1,1.99
12.0,33192960.0,0,0,4,1810,4,1,36,0,0.0
98.0,528883712.0,0,0,4,875,3,1,6,0,0.0
48.0,1240442880.0,0,0,4,3532,4,1,5,0,0.0
9.0,168838144.0,1,1,12,511,3,1,1,10,8.99
15757.0,97390592.0,1,1,4,1340,4,1,22,10,39.99
51.0,47247360.0,0,1,4,1055,3,1,28,2,0.99
79.0,240550912.0,1,0,12,870,3,1,1,0,0.0
10.0,86986752.0,0,1,4,992,3,1,1,4,0.99
6.0,184401920.0,0,1,12,646,4,1,1,1,19.99
513.0,23708672.0,0,0,4,946,4,1,1,0,0.0
1058.0,139646976.0,1,1,12,297,4,1,1,7,99.99
6.0,17690170.0,0,1,4,757,3,1,1,0,0.0
10.0,16716197.0,0,1,4,1523,4,1,1,0,0.0
17.0,71245824.0,0,1,9,1246,4,1,1,6,4.99
77.0,724273152.0,0,0,12,2365,4,1,10,0,0.0
12.0,613326848.0,0,0,4,3725,5,1,1,0,0.0
21.0,23976960.0,0,1,4,1012,4,1,1,0,0.0
6.0,12148736.0,0,1,4,786,4,1,1,1,0.99
34.0,39392256.0,1,1,4,901,4,1,25,3,0.99
23.0,143066112.0,0,1,4,1044,4,1,1,3,2.99
658.0,206372864.0,1,1,4,361,4,1,1,1,2.99
13.0,46979072.0,0,0,4,1043,3,1,1,0,0.0
87.0,43814912.0,0,1,4,2604,4,1,1,0,0.0
30.0,125908992.0,1,1,9,346,4,1,1,4,3.99
25.0,55110656.0,0,1,4,1562,4,1,4,0,0.0
65.0,63986688.0,0,1,4,712,4,1,1,5,19.99
100.0,46287872.0,0,1,12,1030,4,1,1,0,0.0
7.0,203373568.0,0,1,9,2101,4,1,1,8,49.99
71.0,54432768.0,0,0,4,495,5,1,1,0,0.0
11.0,209387520.0,0,1,9,231,3,1,1,0,0.0
11.0,149273600.0,0,1,12,716,3,1,1,0,0.0
468.0,36715520.0,0,0,9,1950,4,1,4,0,0.0
10.0,87248896.0,1,1,4,423,4,1,1,0,0.0
1156.0,6122222.0,0,1,4,947,4,1,1,0,0.0
7.0,56675328.0,0,1,4,1657,4,1,1,0,0.0
5402.0,443534336.0,1,1,4,1606,4,1,1,10,49.99
102.0,16554609.0,0,1,9,681,3,1,1,0,0.0
24.0,138396672.0,0,1,12,1912,3,1,1,7,2.99
96.0,415538176.0,0,1,4,2724,3,1,7,5,99.99
30.0,79646720.0,0,1,4,102,4,1,1,0,0.0
52.0,18726504.0,0,1,9,159,3,1,1,1,0.99
